ISO,Country,users,fixed-line/100,mobile/100,upload,download,ping,mobile upload,mobile download,mobile ping,internet capacity,2g coverage/pop,3g coverage/pop,4g coverage/pop,"1.3.4) Government initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best","1.3.5) Private sector initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best",1.3.6) Internet exchange points / Number of IXPs per 10 million inhabitants,1.4.1) Urban electricity access / % of population,1.4.2) Rural electricity access / % of population,"2.1.1) Smartphone cost (handset) / Score of 0-100, 100=most affordable",2.1.2) Mobile phone cost (prepaid tariff) / % of monthly GNI per capita,2.1.3) Mobile phone cost (postpaid tariff) / % of monthly GNI per capita,2.1.4) Fixed-line monthly broadband cost / % of monthly GNI per capita,"2.2.1) Average revenue per user (ARPU, annualized) / USD","2.2.2) Wireless operators' market share / HHI score (0-10,000)","2.2.3) Broadband operators' market share / HHI score (0-10,000)","3.1.1) Availability of basic information in the local language / Qualitative rating 0-2, 2=best","3.1.2) Concentration of websites using country-level domains / Qualitative rating 0-3, 3=best","3.1.3) Availability of local language keyboard on devices / Qualitative rating 0-1, 1=best","3.1.4) Availability of e-Government services in the local language / Qualitative rating 0-2, 2=best","3.2.1) e-Finance content / Qualitative rating 0-2, 2=best","3.2.2) e-Health content / Qualitative rating 0-3, 3=best",3.2.3) e-Entertainment (growth) content / % growth,3.2.4) e-Entertainment (views) content / YouTube views per capita,"3.2.5) e-Commerce content / Score of 0-100, 100=best",4.1.1) Level of literacy / % of population,4.1.2) Educational attainment / Years of schooling,"4.1.3) Support for digital literacy / Qualitative rating 0-3, 3=best","4.1.4) Level of web accessibility / Qualitative rating 0-4, 4=best","4.2.1) Privacy regulations / Qualitative rating 0-2, 2=best","4.2.2) Availability of CERTS / Qualitative rating 0-1, 1=best",4.2.3) Female access to a mobile phone / % of households,4.2.4) Female access to the Internet / % of households,"4.3.1) Existence of national broadband strategy / Qualitative rating 0-2, 2=best","4.3.2) Existence of government e-inclusion strategy / Qualitative rating 0-2, 2=best","4.3.3) Existence of national digital identification system / Qualitative rating 0-3, 3=best","4.3.4) Existence of Universal Service Fund / Qualitative rating 0-1, 1=best",BG1) Nominal GDP / USD billions,BG2) Population / Millions,BG3) Urbanization rate / % of population,BG4) GNI per capita / US$ per person,"BG5) GINI coefficient / Score, 0-100; 0 is perfect equality; 100 is perfect inequality",BG6) Population under the poverty line / % of population,BG7) Total electricity access / % of population,BG8) Cable landing stations / Number of cable landing stations per 10 million inhabitants,BG9) Percentage of schools with Internet access / % of schools,"BG10) Global Peace Index / Score, 1-5; 1 = best","BG11) Democracy Index / Score, 0-10; 10 = best","BG12) Corruption Perceptions Index / Score, 0-100; 100 = best","BG13) EIU Business Environment Rankings / Score, 1-10, 10 = high","BG14) UN E-Government Development Index / Score, 0-1; 1 = best",BG15) Internet users (population) / Millions,BG16) Offline population / Millions
NE,Niger,2.6,0.057088349,46.49586525,4599.222653,6955.724636,96.95051715,1329.249402,4154.3507,160.6758608,2688.235534,80,49.1521618,0,0,0,0,61.8,3.9,0,6.190787912,93.35041646,154.7696978,68.4,3908.5,5609.326293,2,0,1,0,1,1,0,0,6.5,19.1026,1.4,0,2,1,0,46,1,0,0,0,1,7.134,19.9,18.732,390,33.99,13.69,14.5,0,5.240174672,2.239,3.85,34,4.7977944,0.05933,0.439164,20.276121
NG,Nigeria,11.4,0.007896539,82.18573909,5175,5528,93,1632,4726,191,2986.164988,99.39,66.6,15.31454149,2,2,0.054884742,55,36.5,87.62,1.160900262,5.367705141,13.93080315,68.9924,2777.72,2049.46,2,1,1,1,2,1,150.279019,27.62912546,30.4,59.56808,5.9,2,0,0,1,79,21,2,2,3,1,493.84,182.2,48,2820,42.97,21.76,45,0.329308452,26.02814251,2.877,4.62,26,4.6,0.3291,86.219965,100.767598
OM,Oman,83.95,5.609576065,130,2953,11192,49,7358,15561,58,59783.70571,99,95,86,2,2,0,99.9,92.9,98.29,0.922262494,1.842129502,1.291167492,230.6951,5144.5,5760.52,2,1,1,2,2,3,124.4408163,108.8307035,48.8,93.97165,8,3,1,2,1,99,59.8,2,2,3,1,69.8317,4.1579,77.641,16920,39.3,0,98.3,40.88602419,86.97478992,2.016,3.04,45,6.3902944,0.59616,3.31026,1.344211
PK,Pakistan,24,0.953099019,66.91662303,2796,4022,65,3733,5584,106,11907.33676,86,46,16,1,0,0,90.6,61.9,70.87,0.162175584,4.121332015,5.537160855,24.0423,2299.17,7107.76,2,2,0,1,2,1,223.2861273,25.52541703,27.7,56.44031,4.7,0,1,2,0,75,5,2,0,2,1,271.05,188.9,38.7,1440,30.69,0.87,72.8,0.476442562,32.64523876,3.145,4.4,30,4.9,0.25832,34.3424,158.484102
PE,Peru,23.16654049,6.416508727,109.8669058,1167,7215,58,6023,9758,107,43154.45812,100,90.67,62,2,2,0.321006677,96,70.2,94.11,1.82338276,1.704371144,2.127279887,104.8134,3597.82,6916.66,2,2,1,1,2,3,117.4976839,423.1956492,43.1,94.37435,9,3,1,2,1,75,24,1,2,2,1,192.12,31.152,78.7,6200,44.14,0.79,90.3,1.284026708,49.05775532,2.057,6.58,36,6.1,0.53815,13.036965,18.73726
PH,Philippines,28.3,3.398730875,118.1255437,2627,5436,51,3047,5606,151,37409.1609,99,78,39,2,2,0.297917556,93.6,67.4,89.58,1.48249268,2.283048366,7.442262246,36.198,5003.38,6672.84,2,1,1,1,2,2,98.80435699,233.2088495,35.7,96.61803,8.9,2,2,2,0,88,21,2,2,0,0,291.99,100.699,44.2,3540,43.04,2.74,79.1,2.780563859,39.74032927,2.511,6.84,35,6,0.57655,44.478808,57.771325
PL,Poland,75.7829,19.47329027,130,8913,24992,32,7038,13155,52,86573.32238,99.9,99.9,83.7,2,2,2.34375,100,100,97.34,0.238103671,0.568673858,0.928604317,116.6381,2510.82,2223.8,2,3,1,2,2,2,75.95576664,765.1514568,65.2,99.78742,11.8,1,3,2,1,94,77,2,2,2,0,474.46,38.4,60.5,13370,32.08,0,100,0.520833333,81,1.557,7.09,62,7,0.72108,27.922152,10.671009
RO,Romania,67.7097,19.77422148,107.1402041,46838,64931,22,18038,29355,53,146012.0549,99.9,99.9,72,2,2,1.537594178,100,100,95.97,0.700463229,1.003284577,0.914493941,94.8662,2964.59,3209.86,2,3,1,1,1,2,89.67026527,1569.07421,55,98.75703,10.8,2,1,2,1,89,63,2,2,2,1,177.96,19.511,54.5,9500,27.45,0,100,0,80.19984321,1.649,6.68,46,6.3,0.56114,11.236186,8.136548
RU,Russia,72.05,18.77489375,130,31112,30086,24,7463,7692,94,26845.32675,89,73,50,2,2,1.023897774,100,100,97.23,0.345478231,0.548559893,0.690956463,98.4519,2586.31,2599.74,2,3,1,2,2,3,122.2601493,629.1686607,57.6,99.71957,12,0,1,2,1,96,72,2,0,2,1,1324.5,146.499,74,11400,41.59,0.01,100,0.614338664,80,3.079,3.31,29,5.4,0.72147,102.258256,41.181576
RW,Rwanda,6.72,0.169979011,70.48290534,4676,6416,64,1475.752655,4173.952278,149.3616419,5661.049827,99.98,88.01,20,2,1,0.861326443,67,4.7,52.21,2.377732176,5.160225905,166.4388746,26.4,3629.38,5350.08,2,2,0,1,1,1,0,0,19.9,71.2435,3.7,3,1,1,0,60,2,2,1,2,1,8.1009,11.61,28.811,700,50.44,23.69,21.4,0,18,2.323,3.07,54,5.3377944,0.33904,1.478216,10.40455
SA,Saudi Arabia,93.99998816,12.00919829,130,3554,9192,61,5054,5487,70,88669.12693,99.42,97,85,1,1,0,99.8,97.6,99,0.951167728,0.951167728,2.02462845,184.6226,3649.92,6332.76,2,1,1,1,2,3,93.96580357,644.9785031,52.2,94.84237,8.7,2,2,1,1,100,71,2,1,2,1,646.0019,30.38,83.2,23550,32,0,99.4,5.266622778,80,2.338,1.93,52,6.1,0.68224,20.813695,11.344279
SN,Senegal,15.7,0.672198851,99.94675778,901,2892,143,1794.489109,4458.035811,131.5101793,6930.586328,92,58.17029849,18.47134929,2,1,0,89.8,28,65.05,2.394118149,12.13555414,36.52044634,60,4044.86,9880.72,1,2,1,1,1,2,339.5442564,54.90808037,33.4,55.62485,2.5,0,2,2,0,86,8,0,0,2,1,13.7796,15.13,43.721,1000,40.29,12.79,54.7,1.982815598,5,1.978,6.08,44,5.68,0.32505,3.647939,11.941546
SC,Seychelles,59.44,14.31405593,130,6076.660669,5799.046806,43.25040755,4121.812971,7563.324391,79.70014393,38395.18463,98,90,42.91744269,0,1,0,97,97,85.31015727,0.343626769,1.594508767,1.227238462,300,5092.48,5046.08,1,1,0,2,1,1,0,0,46.76227727,95.32108,9.4,3,2,0,0,79.78703831,52.49039662,0,1,2,0,1.4397,0.096,53.887,14760,46.82,0.43,97,104.1666667,75.18759039,2.541,4.296206897,55,4.950123481,0.5181,0.056168,0.040858
SG,Singapore,89.5,26.45017696,130,96124,97262,19,21833,38462,58,737006.3262,100,100,100,2,2,9.033423668,100,100,93.04,0.167563517,0.361828975,0.668578459,383.8273,3720.54,2911.58,2,1,1,2,2,3,43.33150077,922.4711149,75.8,96.77463,10.6,3,1,2,1,96,91,2,2,3,0,292.73,5.535,100,52090,43,0,100,41.55374887,100,1.535,6.14,85,8.6,0.8828,4.699204,0.997302
ZA,South Africa,50.58015988,5.25139839,130,2667,6336,57,4103,7559,57,147629.5001,99,98,54,2,2,1.46810541,90,77.3,94.71,1.539028922,1.809302832,2.565048203,106.6798,3205.05,1777.02,1,2,1,1,2,2,52.96259703,68.0969143,50.3,94.59794,9.9,2,2,2,1,85,34,2,2,2,1,314.5911,54.492,64.9,6050,63.38,4.9,85.4,2.018644939,66.9822452,2.316,7.56,44,6,0.55463,28.58029,26.398617
KR,South Korea,98.79383091,40.24989913,118.4619172,53168,60099,21,14335,31072,68,46764.48478,99.9,99,99,2,1,0.397669656,100,100,98.9,0.212635978,0.456854112,1.275815868,435.8078,3744.18,2983.72,2,2,1,2,2,3,50.72223084,1592.226545,84.3,97.96594,11.9,3,3,2,1,95,86,2,2,3,0,1378.1,50.293,82.5,27440,31.59,0,100,2.187183107,100,1.858,7.97,56,7.2,0.89149,43.274132,7.229801
ES,Spain,78.7489,28.30752446,107.8951854,17479,37572,41,9570,18623,61,105005.9328,99.8,98.9,75,2,2,1.300897619,100,100,98.98,0.046664801,0.613837002,1.123688413,264.3297,3027.04,3330.22,2,1,1,2,2,3,110.0596416,1786.850621,75,98.11451,9.6,2,3,2,1,98,92,2,2,2,1,1199.7,46.122,79.6,28520,35.89,0,100,7.588569446,100,1.604,8.3,58,7.2,0.8135,37.865104,8.1995
LK,Sri Lanka,18.11,3.100226256,112.8295497,2576,8396,116,2456,5976,159,13886.4918,98,74,39,2,1,0,98.6,93,89.26,0.113896922,0.268904176,1.301865103,36,3054.3,5892.34,2,3,1,2,2,1,123.8173956,55.70268904,33.2,92.61417,10.8,2,2,2,1,94,21,0,0,2,1,82.3162,21.62,18.3,3800,39.16,0.29,94,3.237742831,17.8044562,2.133,6.42,37,5.7,0.54454,6.087164,14.723652
SD,Sudan,33.5,0.069883241,70.52824566,4733.581142,7372.537485,62.41222193,1126,3272,118,2189.313823,89.45,45.73,27.58483261,0,0,0,62.5,21.2,72.37,0.534335192,1.034474962,2.646231427,45.8986,3459.52,5030.42,2,0,1,1,1,1,0,0,12.4,58.60132,3.1,1,0,2,1,81,22,1,0,2,1,83.7087,27.89,33.806,1840,35.39,3.98,35.1,1.792757261,4,3.269,2.37,12,3.625173077,0.25389,10.886813,30.288728
SE,Sweden,91.0333,36.06645552,130,31208,47143,30,8317,20107,48,421237.3397,99.99,99.99,99.99,2,2,9.136128312,100,100,99.68,0.12058616,0.299520155,0.908087612,351.9673,2816.39,2273.9,2,3,1,2,2,2,57.39870488,1875.341098,81.4,100,12.1,3,2,2,1,98,90,2,2,2,0,493.05,9.851,85.8,57810,27.32,0,100,23.34788346,100,1.461,9.45,89,8.2,0.87039,9.169705,0.682147
TW,Taiwan,80.16,26.42135901,127.3047195,21360,48940,17,11368,22584,41,73204.34556,100,100,99.45,2,1,0.851353652,99,99,85.86061909,0.24251134,0.240894597,0.2716127,252.8475,2798.83,6370.52,2,3,1,2,2,2,56.36331501,1039.437377,57.64334109,100,10.71,3,2,2,1,97,93,2,2,0,1,522.95,23.492,80,22267,34.2,0,99,6.385152392,90.99903552,1.787,7.83,0,7.6,0.774328571,19.666364,3.798423
TZ,Tanzania,4.51,0.202712539,75.85579688,3775,3904,75,2056,4256,153,4106.779909,95,85,13,0,1,0.374041519,70.6,3.8,56.91,9.932866089,5.580860976,29.79859827,42.2321,2773.53,4695.3,2,1,1,1,2,1,93.61855485,2.921578044,26.5,80.3595,5.1,3,1,2,1,59,11,1,0,2,1,45.666,53.47,31.608,910,37.78,14.35,24,1.122124556,31.98683638,1.899,5.58,30,5.049028846,0.35326,2.895662,52.259811
TH,Thailand,52.16,9.241737473,125.8101802,4665,17769,33,8777,18395,50,64907.22129,97,97,21,2,2,0.445103858,99.7,98.3,94.13,1.240698865,1.308223621,3.9959855,96.639,3468.13,3186.94,2,1,1,1,2,2,113.564633,1128.540412,47.2,93.98302,7.3,3,2,2,1,96,29,2,2,1,1,395.26,67.4,50.8,5620,37.85,0,99,1.928783383,96.70260782,2.312,5.09,38,6.7,0.55222,29.078158,39.068451
TR,Turkey,69.54448134,12.39344232,96.02134861,2662,10373,37,2625,9716,57,59034.36455,98.51,95.03,49.85027283,0,2,0.260824204,100,100,95.91,0.620748867,1.046805521,1.064140914,111.2886,3550.67,4513.02,2,2,1,2,2,3,304.3285595,595.2384356,56.5,95.6881,7.6,2,4,0,0,93,71,0,1,2,1,718.0369,76.68,73.5,9950,40.18,0.06,100,0.652060511,86,2.71,5.12,42,6.1,0.58995,46.19672,33.425342
UG,Uganda,7.2,0.324354526,50.37278848,4189,3325,85,1688,4313,116,4633.085856,100,45,4,2,0,0.256213169,55.4,7.1,40.99,11.05363003,13.77838568,537.3134328,27.6,3717.52,4870.676365,2,2,1,2,2,2,122.4620324,13.85028263,29.7,73.80984,5.4,1,3,0,1,54,12,0,2,2,1,25.9945,39.03,16.101,670,41.01,10.29,14.5,0,30.44731342,2.148,5.22,25,5.362052885,0.35992,7.645197,32.677571
UA,Ukraine,51.1,11.80934808,130,21835,23366,35,3158,5727,100,45743.49109,99.9,35,41.81968901,2,2,1.169317119,100,100,89,1.153178678,2.119192369,1.255916447,36.3238,3485.79,2480.94,2,3,1,2,2,2,397.2055655,622.0531527,54.6,99.76411,11.3,3,1,2,1,89,59,2,0,1,0,90.615,42.76,69.7,2620,24.09,0,100,0.233863424,71.99862023,3.287,5.7,27,4.6,0.60756,19.678089,24.946284
GB,United Kingdom,91.2516,37.72293453,125.7508428,7904,29791,36,8076,18206,55,374553.9038,99.4,99.3,89.5,2,2,1.241387872,100,100,99.43,0.253807097,0.455395526,0.423011829,312.8055,2795.31,2529.34,2,1,1,2,2,3,47.07302532,2837.176463,83.7,100,13.1,3,2,2,1,96,92,2,2,0,1,2857.7,64.444,82.6,43340,32.57,0,100,17.68977717,100,1.83,8.31,81,7.7,0.91928,60.273385,4.837758
US,United States,82.2,31.53100176,117.5867444,11971,36102,38,9997,17111,88,99016.98775,99.9,99.9,99.6,2,2,2.240610442,100,100,96.86,0.832014192,1.426419254,0.356331871,633.3267,2594.13,1439.28,2,3,1,2,2,3,59.07512703,1551.851015,82.6,100,12.9,3,3,2,1,92,86,2,2,1,1,18036.7,321.341,81.6,54960,41.06,0,100,4.761297189,100,2.154,8.05,76,8.3,0.84201,286.942362,37.176425
UZ,Uzbekistan,52.6,3.565797458,73.31992547,3473,2381,59,1277,4251,135,2075.362492,98.8,44,10,1,2,0.319488818,100,100,35.62093457,5.581395349,25.1162884,3.679151424,103.2,3978.74,3292.46,2,3,0,2,1,2,0,0,26.1,99.99519,10.9,2,2,2,1,97,19,1,1,2,0,66.6911,31.3,36.365,2150,35.27,25.32,100,0,73.08924252,2.216,1.95,19,4.557174529,0.54335,15.453227,14.847219
VE,Venezuela,34.7025068,8.244989519,92.97221122,663,2037,122,2625,5503,95,16310.01424,98,63.52984711,62,2,0,0,99.8,98.6,97.34,1.764899584,1.310322723,2.219518123,31.2,3682.62,7510.48,2,0,1,1,2,2,0,0,32.8,95.39925,8.9,1,1,0,1,85,40,1,2,2,1,478.5,30.41,89,11780,46.94,6.8,99.7,1.973035186,14.58470821,2.651,5,17,4.3,0.51285,18.254349,13.264506
VN,Vietnam,24.1,8.138209934,130,18027,16391,18,1740,4500,77,24373.68202,94,63.64314107,24.78032853,2,0,0.107011386,99.3,96,82.53,1.399198886,1.719483467,0.559654358,37.2,3400.36,3260.34,2,3,1,2,2,3,322.4979548,348.5270824,43.1,94.51427,7.5,0,0,2,1,91,26,2,1,1,1,191.38,93.448,33.7,1980,37.59,0.62,97.1,0.53505693,51.82013017,1.906,3.53,31,5.9,0.51426,49.063762,45.380438
YE,Yemen,5.479,1.546891207,67.98097332,487,1850,141,1439.604045,4120.3569,151.6793354,2496.418191,70.7,51.9620803,0,0,0,0,72.1,32.1,33.64547135,12.45717845,4.053811877,6.765536571,51.6,2688.26,5512.612984,2,1,1,1,1,2,248.210226,18.79003223,18.42477319,69.96195,2.6,0,1,2,0,79,3,0,0,2,0,28.604,25.47,34.606,1300,35.89,18,45.5,2.74833137,27.39776077,3.399,2.24,18,3.9227944,0.22478,6.773228,20.704372
ZM,Zambia,12.7,0.14535809,74.47177776,3334,4361,100,1317,3608.9,238.4,3186.752887,93,53,1.34,0,0,0.616903146,45,13.5,74.08,7.413966741,14.33447099,23.16864607,39.6,3855.06,5178.933127,2,1,1,0,1,1,0,0,22.8,85.11726,6.6,0,1,1,1,80,11,0,0,2,1,21.2925,16.21,40.922,1500,55.62,31.59,26.1,0,6.953020134,1.783,6.28,38,4.9520625,0.35069,3.167934,13.549398
G0,All Countries,43.03035059,10.58582528,102.8038491,9841.276865,15573.48488,63.58813841,4865.704514,10199.04239,108.0303151,61903.21242,93.95733333,75.74658027,43.37668983,1.4,1.2,0.964927231,86.14317935,67.07066667,77.00687698,3.483005463,6.126370523,41.41655552,144.8844907,3673.958667,4546.708504,1.893333333,1.6,0.88,1.44,1.693333333,2.053333333,98.89808266,423.5963144,42.10950326,83.34664627,7.625466667,1.946666667,1.52,1.48,0.786666667,82.64392952,39.94042239,1.253333333,1.146666667,1.68,0.72,893.5657548,88.98324084,56.68385333,11956.89333,38.83093333,6.387333333,74.26133333,10.05614566,53.10075915,2.152782,5.580562759,40.37333333,5.829014743,0.513100514,41.83993579,48.64117753
G1,Africa,19.15626579,1.442963958,84.1049877,4123.106342,5744.283302,98.00424541,1900.139787,4863.189327,148.8382421,14183.02207,89.04269231,60.56200308,17.14883623,0.884615385,0.653846154,0.418869154,64.90384615,28.69230769,54.82558511,7.130959756,13.26106629,113.7162199,80.45010385,4155.360385,5755.108722,1.769230769,1,0.884615385,1,1.384615385,1.461538462,59.09202998,28.01206988,24.89036769,65.33259538,4.969230769,1.423076923,1,1.192307692,0.576923077,68.99180917,13.89578449,0.692307692,0.692307692,1.423076923,0.846153846,77.34310385,38.99853846,40.46119231,2146.538462,42.025,15.37730769,41.01538462,5.136065561,24.05463595,2.257615385,4.596777188,33.5,4.954887246,0.312475,10.16942577,30.40248946
G2,Americas,46.34035476,14.29223746,111.9045086,3816.909091,12256.54545,54.45454545,5268.454545,10574.63636,91.18181818,66011.00089,97.32818182,89.18544065,61.57890282,1.818181818,1.454545455,0.734416434,99.0398592,89.5,95.33636364,1.68433249,2.62873692,2.747707481,206.8558364,3357.501818,3761.394545,1.818181818,1.454545455,1,1.636363636,2,2.727272727,66.04911572,688.507022,50.90909091,93.90209182,9,2.272727273,1.909090909,1.545454546,1,84.72727273,50.09090909,1.090909091,1.545454546,1.818181818,0.909090909,2220.705836,80.191,79.29972727,16470.90909,45.69363636,1.564545455,96.84545455,2.147208009,52.61147673,2.167818182,6.932727273,44.63636364,6.385025259,0.63145,56.94347427,24.45207691
G3,Asia,47.38064145,10.94501738,110.9805523,16837.95455,21595.59091,41.04545455,6298.436364,12571.04091,93.71818182,70738.33437,96.06181818,78.53861422,46.24518646,1.590909091,1.272727273,1.142907805,96,81.01818182,82.2579586,1.706901236,3.051047937,4.441422533,149.4934727,3552.730455,4173.94173,2,1.954545455,0.772727273,1.590909091,1.772727273,2,146.0078046,374.0827768,43.76538233,90.11967955,8.259545455,2.227272727,1.636363636,1.545454546,0.863636364,89.79580345,42.6109674,1.636363636,1.318181818,1.727272727,0.545454546,1078.79701,180.5135983,52.87518182,12129.40909,35.67954545,1.996818182,86.18636364,21.86144159,64.78439539,2.042893182,5.726181818,36.72727273,6.100030485,0.560497662,76.38920386,106.4616359
G4,Europe,78.45719845,27.36547779,119.1392877,17395.25,31802.41667,35,8500.666667,17933.08333,63,152680.5482,98.7,91.14333333,77.29666349,1.833333333,2,2.323097753,100,100,97.60166667,0.393502777,0.848290155,0.90899102,224.1217583,3014.123333,2914.31,2,2.416666667,1,1.916666667,1.916666667,2.583333333,122.96955,1205.451016,68.85,99.23721083,11.20833333,2.25,2.166666667,1.833333333,0.916666667,93.75,81,1.833333333,1.416666667,1.833333333,0.583333333,1307.009325,55.60525,74.56666667,28717.5,32.29583333,0.005833333,100,5.494764648,89.14241872,1.983916667,7.285,59.66666667,6.925,0.759430833,41.38359383,14.350654
G5,Middle East,58.90224704,7.507276379,105.3414508,2432.75,6776.5,74.75,4249.401011,7601.089225,102.9198339,39862.85321,90.83,75.94302008,46.265,1.25,1.25,0.094804702,92.95,79.35,80.11386784,3.754734546,2.117855744,2.693994243,130.2256,4061.365,5799.133246,2,1.5,0.75,1.5,1.75,2.75,116.6542115,193.1498097,40.5061933,86.487125,6.875,2,1.25,1.75,0.75,93,43.45,1.5,1.25,2.25,0.75,290.27515,34.779475,67.23675,12080,36.135,4.5075,85.45,12.54126026,70.86110855,2.541,2.3425,35.5,5.2032722,0.49203,17.5115715,18.57172625
G6,High income,84.09535846,28.00723265,121.9114747,19803.77161,34467.42352,36.43423198,9635.77963,20580.28023,61.247376,163519.7084,99.32684211,97.87315789,87.99249698,1.842105263,1.684210526,2.499565964,99.76392461,99.17368421,97.1479356,0.417670112,0.880009362,0.994871433,346.4308947,3358.588421,3279.52,1.947368421,2,0.947368421,1.947368421,1.947368421,2.684210526,67.73641947,1184.57175,71.82661149,98.54847053,11.17421053,2.684210526,2.210526316,1.842105263,0.947368421,93.77826517,81.5942314,1.789473684,1.684210526,1.842105263,0.631578947,2182.189121,53.76525789,80.88042105,35865.10526,35.44157895,0.04631579,99.64736842,15.2453582,92.39059023,1.747052632,7.355589837,65.68421053,7.428443046,0.794832556,46.21137137,7.867403895
G7,Upper middle income,50.62417034,10.85309883,111.1040859,8083.888889,13893.94444,49.33333333,5737.174219,10047.84394,96.24531371,53499.40867,97.30055556,82.08721373,49.07926182,1.777777778,1.5,0.5041859,96.10132687,89.08888889,95.05130753,1.043181487,1.666081176,2.699224529,113.4584056,3820.415556,4523.991666,1.833333333,1.777777778,0.888888889,1.444444444,1.833333333,2.444444444,171.6136882,396.3538648,46.66639279,93.35372722,8.555555556,2.166666667,1.833333333,1.444444444,0.833333333,87.13931532,47.29118237,1.444444444,1.555555556,1.833333333,0.777777778,1098.910628,133.4684535,68.67144444,8438.333333,42.55055556,1.968888889,94.11111111,23.5485607,67.08786342,2.276758333,5.249222222,32.61111111,5.769665107,0.560429444,72.7509495,62.643773
G8,Lower middle income,25.47736264,2.622142292,100.4630648,5951.440881,7099.980729,72.60050925,2439.221002,5597.810704,122.7408056,21298.81882,93.21,67.35188422,24.5298939,1.25,1.125,0.404430168,84.51666667,56.8,75.17193358,2.968024186,4.979239973,11.08505051,59.16944167,3399.713333,4584.093588,1.958333333,1.5,0.833333333,1.333333333,1.583333333,1.583333333,95.84800021,82.19398603,28.65519888,79.13670542,6.45,1.625,0.958333333,1.416666667,0.833333333,84.33333333,21.45833333,1.083333333,0.708333333,1.791666667,0.666666667,229.345125,116.5501667,43.99391667,2285.833333,38.42625,6.597083333,67.85416667,1.350970631,34.25503028,2.382541667,4.976666667,30.16666667,5.09760247,0.407055833,38.06002996,80.88116113
G9,Low income,7.62662242,0.250877276,70.21311144,5248.537364,6617.127255,103.3176965,1431.256112,4192.443366,161.4556075,4407.533106,83.65285714,51.95631799,7.803580559,0.571428571,0.285714286,0.435437058,57.64285714,12.8,29.61821826,11.66284503,20.94759935,198.0508467,58.70227857,4383.794286,6231.58298,1.785714286,1,0.857142857,0.928571429,1.357142857,1.5,52.92613118,11.13107908,18.98480591,57.06639357,3.628571429,1.214285714,1.142857143,1.142857143,0.428571429,58.85714286,5.642857143,0.571428571,0.642857143,1.071428571,0.857142857,19.36885714,32.32621429,30.18721429,612.8571429,39.34214286,20.31428571,25.27142857,0.589409348,14.10238953,2.150142857,4.632857143,33.5,4.988518329,0.251689286,2.644379857,30.70513286
